Position,Name,Bib,Time,Nationality,Category,Category Position,Gender,Gender Position
84,MATT RINGOT,9373,01:36:38,FRA,35-39,11,Male,45
85,JOANNA MORAN,9272,01:37:26,NZL,55-59,5,Female,40
86,DIANE MARGARET GILLARD,9366,01:37:27,NZL,55-59,6,Female,41
87,HELEN BARNHAM,9011,01:37:42,GBR,40-44,3,Female,42
88,JENNY CARPENTER,9018,01:37:51,USA,55-59,7,Female,43
89,LAUREN CARLTON,9359,01:38:25,NZL,20-34,19,Female,44
90,JACK MILLS-WILLIAMS,9345,01:38:26,NZL,20-34,13,Male,46
91,ZHOU HAO LEONG,9168,01:38:54,,35-39,12,Male,47
92,PETER BROWN,9184,01:39:17,NZL,70-74,1,Male,48
93,JENNA LENTFER,9364,01:39:21,NZL,35-39,7,Female,45
94,SILKE COATS,9141,01:39:36,SWE,40-44,4,Female,46
95,SOPHIE KNIGHT,9096,01:40:01,NZL,20-34,20,Female,47
96,MADDIE STUBBINS,9027,01:41:14,NZL,55-59,8,Female,48
97,KATE MCBRIDE,9367,01:41:16,NZL,40-44,5,Female,49
98,ISLA CAPPELY,9089,01:42:35,NZL,16-17,1,Female,50
99,REBECCA PEDLEY,9069,01:43:31,GBR,35-39,8,Female,51
100,ROBIN COULTER,9108,01:43:40,AUS,65-69,1,Female,52
101,ANNIE OLDHAM,9147,01:43:40,AUS,65-69,2,Female,53
102,STEADY DAVIS,9371,01:44:14,NZL,50-54,7,Male,49
103,JANE MOORE,9119,01:44:15,NZL,60-64,1,Female,54
104,CHRIS MOORE,9207,01:44:15,NZL,60-64,2,Male,50
105,ALANNAH LETT-PETCH,9146,01:44:15,NZL,20-34,21,Female,55
106,BRITTANY LAING,9090,01:44:37,NZL,20-34,22,Female,56
107,KERRY LAING,9179,01:44:37,NZL,50-54,8,Male,51
108,MARILIE NYIKA,9048,01:44:48,NZL,20-34,23,Female,57
109,AMANDA HARDIE,9029,01:44:52,AUS,45-49,6,Female,58
110,SHEENA APPLEYARD,9004,01:45:29,AUS,50-54,2,Female,59
111,OLIVIA APPLEYARD,9065,01:45:30,AUS,20-34,24,Female,60
112,STEVE AMARU,9267,01:46:06,FRA,40-44,4,Male,52
113,BROOKE HUNTINGDON,9080,01:46:40,NZL,20-34,25,Female,61
114,JUSTIN ROSS,9158,01:46:41,NZL,20-34,14,Male,53
115,HANNA SCHWAGER,9083,01:47:04,,20-34,26,Female,62
116,ANGUS LESLIE,9185,01:47:05,NZL,20-34,15,Male,54
