Position,Name,Bib,Time,Nationality,Category,Category Position,Gender,Gender Position
314,MARK O'SULLIVAN,505,18:55:07,NZL,40-49,91,Male,236
315,STEPHEN PAU,203,18:55:13,HKG,40-49,92,Male,237
DNF,SANDRA GREY,6,00:00:00,NZL,40-49,,Female,
DNF,MICHAEL  BROWN,23,00:00:00,NZL,30-39,,Male,
DNF,KENT DAPIERE,17,00:00:00,NZL,30-39,,Male,
DNF,TOM LE LIEVRE,49,00:00:00,AUS,20-29,,Male,
DNF,RAEWYNNE BLOMMERDE,51,00:00:00,NZL,50-59,,Female,
DNF,STEPHEN SILK,57,00:00:00,NZL,50-59,,Male,
DNF,SHANELLE HILL,80,00:00:00,NZL,30-39,,Female,
DNF,PIERRE-HENRI  LEQUES,89,00:00:00,NCL,50-59,,Male,
DNF,CHRIS TOWNLEY,90,00:00:00,NZL,30-39,,Male,
DNF,JASON MITCHELL,103,00:00:00,AUS,20-29,,Male,
DNF,KIM SONG YEO,123,00:00:00,SNG,30-39,,Male,
DNF,ANDREW MCMANUS,155,00:00:00,NZL,20-29,,Male,
DNF,DENNIS ROLLINGS,162,00:00:00,AUS,50-59,,Male,
DNF,KEIKO  KISHI,176,00:00:00,JPN,50-59,,Female,
DNF,CHRIS TRUDGEON,193,00:00:00,NZL,50-59,,Male,
DNF,BENJAMIN LUCAS,223,00:00:00,AUS,20-29,,Male,
DNF,ANDREW FIFITA-LAMB,274,00:00:00,NZL,50-59,,Male,
DNF,DON MORRISON,268,00:00:00,NZL,50-59,,Male,
DNF,MICHAEL HALE,311,00:00:00,NZL,30-39,,Male,
DNF,JOSH GARRETT,315,00:00:00,AUS,20-29,,Male,
DNF,MICHAEL  ZO,308,00:00:00,NZL,30-39,,Male,
DNF,STU MILNE,321,00:00:00,NZL,30-39,,Male,
DNF,GEOFF NESS,340,00:00:00,NZL,40-49,,Male,
DNF,LEIGH PAULSEN,337,00:00:00,AUS,30-39,,Female,
DNF,JACQUELYN  SCHIRMER,352,00:00:00,NZL,40-49,,Female,
DNF,DAN HUNT,366,00:00:00,NZL,20-29,,Male,
DNF,SHANE TUHI,421,00:00:00,NZL,50-59,,Male,
DNF,STEFAN FULTON,436,00:00:00,AUS,30-39,,Male,
DNF,PAIGE PATTILLO,479,00:00:00,,20-29,,Female,
DNF,STEPHANIE MCNICHOLL,475,00:00:00,AUS,40-49,,Female,
DNF,KYLIE PARKER,468,00:00:00,NZL,40-49,,Female,
DNF,JO JOHANSEN,499,00:00:00,NZL,30-39,,Female,
DNF,YONGKEE KIM,580,00:00:00,,20-29,,Male,
DNF,STEVE BRAMMAR,607,00:00:00,HKG,40-49,,Male,
DNF,RUBY MUIR,612,00:00:00,NZL,20-29,,Female,
DNF,MICHAEL ROBINSON,619,00:00:00,NZL,20-29,,Male,
DNF,MICK MARSHALL,869,00:00:00,AUS,40-49,,Male,
DNF,ROBIN KELLY,622,00:00:00,NZL,30-39,,Female,
DNF,TEAM TARAWERA TRAILS TEAM ONE,4043,00:00:00,,4 person,,Mixed,
DQ,RICHARD PINCKNEY,39,00:00:00,NZL,30-39,,Male,
