Position,Name,Time,Category,Category Position
288th,Juliana Eu,2:05:49,F 55-59,6th
289th,Ruth Murphy,2:06:01,F 40-44,12th
290th,Stuart Bell,2:06:01,M 45-49,21st
291st,Sean Kelly,2:06:04,M 40-44,28th
292nd,Sanna Jepson,2:06:23,F 40-44,13th
293rd,Scott Elliffe,2:06:39,M 55-59,15th
294th,Charlie Lin,2:07:02,M 11-34,80th
295th,Andrew Lee,2:07:06,M 50-54,24th
296th,Caleb Patterson,2:07:20,M 11-34,81st
297th,Vern Scheffer,2:07:21,M 65-69,4th
298th,Chris O'Connor,2:07:33,M 11-34,82nd
299th,Dayna Clement,2:07:34,F 11-34,39th
300th,Brian McDonnell,2:07:42,M 45-49,22nd
301st,Yeran Edmonds,2:07:54,M 11-34,83rd
302nd,Susan De Alwis,2:07:57,F 50-54,6th
303rd,Brendan Muller,2:08:00,M 45-49,23rd
304th,Christina Cornhill,2:08:09,F 45-49,12th
305th,Sharon Young,2:08:09,F 50-54,7th
306th,Geraint Rowlands,2:08:12,M 50-54,25th
307th,Olivia Rynne,2:08:13,F 11-34,40th
308th,Michael Jenkinson,2:08:32,M 50-54,26th
309th,Andre Timothy,2:08:34,M 11-34,84th
310th,Sandra Haynes,2:08:54,F 50-54,8th
311th,Tamsin Bateman,2:08:57,F 11-34,41st
312th,Angela Gattu,2:09:05,F 55-59,7th
313th,Gayle Bennett,2:09:16,F 40-44,14th
314th,Tania Murray,2:09:20,F 40-44,15th
315th,Laura Richmond,2:09:21,F 40-44,16th
316th,Paul Harris,2:09:30,M 50-54,27th
317th,Katja Campbell,2:09:30,F 45-49,13th
318th,Federico Rodriguez,2:09:36,M 11-34,85th
319th,Sarah Rees,2:09:53,F 55-59,8th
320th,Courtenay Robinson,2:09:58,F 35-39,17th
321st,Katherine Wescott,2:10:16,F 35-39,18th
322nd,Chris McAlpine,2:10:17,M 55-59,16th
323rd,Natalie Ridler,2:10:21,F 11-34,42nd
324th,Bridget Lawrence,2:10:24,F 11-34,43rd
325th,Danni Taylor,2:10:24,F 11-34,44th
326th,Leah McElwain,2:10:33,F 35-39,19th
327th,Kerry Power,2:10:34,M 70-74,2nd
328th,Sam Coleman,2:10:38,M 35-39,24th
329th,Richard Maxwell,2:10:41,M 65-69,5th
330th,Leon Roberson,2:10:48,M 45-49,24th
331st,Tristan Hessler,2:11:00,M 11-34,86th
332nd,Rebecca Juntunen,2:11:07,F 11-34,45th
333rd,Ajith Dissanayake,2:11:15,M 65-69,6th
334th,Simon Beuth,2:11:16,M 40-44,29th
335th,James Thorpe,2:11:19,M 11-34,87th
336th,Mike Stewart-Jacks,2:11:29,M 65-69,7th
337th,Susan Kidston,2:11:34,F 55-59,9th
338th,Jodie Williams,2:11:35,F 11-34,46th
339th,Mike Olphert,2:12:00,M 35-39,25th
340th,Carolyn Waterman,2:12:05,F 60-64,2nd
341st,Victoria Murray,2:12:09,F 45-49,14th
342nd,Simonne Leo,2:12:19,F 11-34,47th
343rd,Bryce Frewin,2:12:21,M 45-49,25th
344th,Yvonne Harper,2:12:26,F 45-49,15th
345th,Nigel Yalden,2:12:35,M 45-49,26th
346th,Fraser Robertson,2:12:38,M 11-34,88th
347th,Paul Stucki,2:12:40,M 55-59,17th
348th,Greta Fieldes,2:12:50,F 11-34,48th
349th,Richard Young,2:12:51,M 50-54,28th
350th,Talia Horgan,2:12:55,F 11-34,49th
351st,Stacey Dennison,2:12:55,F 11-34,50th
352nd,Connor Handley,2:12:55,M 11-34,89th
353rd,Jess Lawrence,2:12:58,F 11-34,51st
354th,Jennifer Barker,2:13:03,F 40-44,17th
355th,Kelly Hayes,2:13:07,F 40-44,18th
356th,Zoe Ramage,2:13:17,F 11-34,52nd
357th,Shane Smith,2:13:24,M 50-54,29th
358th,Elizabeth Dovey,2:13:29,F 45-49,16th
359th,Kandi Govender,2:13:35,M 60-64,9th
360th,Katie Hollister-Jones,2:13:43,F 11-34,53rd
361st,Ben McDonald,2:13:49,M 35-39,26th
362nd,Kate Jones,2:13:56,F 35-39,20th
363rd,Janna Brown,2:13:58,F 11-34,54th
364th,Michael Norton,2:13:59,M 50-54,30th
365th,Gary McFarlane,2:14:04,M 60-64,10th
366th,Baz Boyden,2:14:15,M 40-44,30th
367th,Shona Larsson,2:14:21,F 50-54,9th
368th,Andrew Green,2:14:22,M 35-39,27th
369th,Edwin Boshier,2:14:24,M 11-34,90th
370th,Lindsay McGreal,2:14:26,F 11-34,55th
371st,Emily Verryt,2:14:31,F 55-59,10th
372nd,Rod Gill,2:14:33,M 70-74,3rd
373rd,Graeme Stanley,2:14:35,M 65-69,8th
374th,Rob Towns,2:14:43,M 40-44,31st
375th,Sue Childs,2:14:50,F 60-64,3rd
376th,Rochelle Burns,2:14:54,F 45-49,17th
377th,Paige McRobie-Casson,2:14:56,F 11-34,56th
378th,Keri-Ann Muller,2:14:58,F 40-44,19th
379th,Astha Kantroo,2:14:58,F 11-34,57th
380th,Lisa Catty,2:15:07,F 40-44,20th
381st,Paul Kelly,2:15:13,M 60-64,11th
382nd,Janet Casto,2:15:18,F 55-59,11th
383rd,Stewart McLachlan,2:15:20,M 40-44,32nd
384th,Leilani Keung,2:15:21,F 45-49,18th
385th,Keith Procter,2:15:35,M 60-64,12th
386th,Lance Molyneaux,2:15:41,M 11-34,91st
387th,David Wyatt,2:15:43,M 50-54,31st
388th,Nicky Bold,2:15:45,F 50-54,10th
389th,Kate Ross-Mcalpine,2:15:45,F 11-34,58th
390th,Peter Czerwonka,2:15:47,M 11-34,92nd
391st,Katy Parris,2:15:48,F 11-34,59th
392nd,Sharon Bolous,2:16:23,F 50-54,11th
393rd,Lynne Dunlop,2:16:33,F 45-49,19th
394th,Francis Madden,2:16:54,F 35-39,21st
395th,Karyn Grindlay,2:16:54,F 40-44,21st
396th,Annalucia Vermunt,2:16:57,F 50-54,12th
397th,David Gatland,2:17:00,M 55-59,18th
398th,Matthew John Galbraith,2:17:02,M 11-34,93rd
399th,Alex Waddell,2:17:08,M 35-39,28th
400th,Phillippa Poole,2:17:09,F 55-59,12th
401st,Alyson Moore,2:17:20,F 40-44,22nd
402nd,Phil Hurn,2:17:38,M 55-59,19th
403rd,Krissy Atwood,2:17:48,F 11-34,60th
404th,Dawn Angove,2:17:50,F 55-59,13th
